<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200103,180000,7386.7400000,7400.0000000,7330.0000000,7353.0400000,515
20200103,190000,7353.0400000,7363.2800000,7330.0000000,7334.3800000,411
20200103,200000,7334.3900000,7341.5300000,7276.1400000,7330.9100000,473
20200103,210000,7330.9000000,7349.4400000,7293.7000000,7308.2500000,446
20200103,220000,7308.2500000,7326.8500000,7259.0000000,7269.3000000,464
20200103,230000,7269.3000000,7309.7500000,7250.0000000,7294.7200000,481
20200104,000000,7293.9000000,7334.4500000,7288.9900000,7334.4500000,345
20200104,010000,7334.4500000,7339.9900000,7284.1500000,7302.4400000,223
20200104,020000,7302.4300000,7304.5500000,7277.3400000,7303.0700000,189
20200104,030000,7303.0700000,7320.9800000,7290.0900000,7320.6800000,99
20200104,040000,7320.6800000,7332.8900000,7311.2900000,7323.5700000,147
20200104,050000,7323.6000000,7330.0000000,7302.7800000,7326.9700000,88
20200104,060000,7326.8600000,7359.9900000,7320.0000000,7333.9400000,211
20200104,070000,7333.9500000,7354.7200000,7330.5700000,7349.5400000,114
20200104,080000,7349.5400000,7354.9800000,7322.2700000,7343.1600000,88
20200104,090000,7343.1600000,7352.0400000,7327.1600000,7339.1300000,95
20200104,100000,7339.1300000,7355.2300000,7332.1400000,7351.6700000,99
20200104,110000,7351.6700000,7357.3900000,7296.8100000,7304.7400000,93
20200104,120000,7304.1100000,7328.7400000,7292.0200000,7326.6100000,53
20200104,130000,7326.6100000,7328.1800000,7295.0000000,7299.9400000,74
20200104,140000,7299.9500000,7312.5400000,7280.5000000,7287.8500000,146
20200104,150000,7287.8300000,7310.7500000,7281.9000000,7304.8500000,118
20200104,160000,7304.8600000,7317.5800000,7293.6000000,7306.1100000,176
20200104,170000,7306.1200000,7313.7900000,7285.0200000,7297.6500000,150
20200104,180000,7297.6400000,7339.3100000,7295.7500000,7339.3000000,182
20200104,190000,7339.3100000,7398.0000000,7263.3200000,7291.4200000,1063
20200104,200000,7291.4100000,7342.7500000,7275.0100000,7322.5400000,413
20200104,210000,7324.2000000,7339.7800000,7304.4300000,7333.0100000,273
20200104,220000,7333.0100000,7358.5100000,7322.2300000,7344.8400000,265
20200104,230000,7343.9800000,7354.2300000,7334.0900000,7346.3700000,166
20200105,000000,7346.3800000,7350.0000000,7326.6900000,7348.6300000,193
20200105,010000,7348.6300000,7384.3700000,7348.6200000,7368.9400000,354
20200105,020000,7368.7500000,7471.5200000,7368.7500000,7451.0100000,1185
20200105,030000,7451.0000000,7483.2800000,7425.0000000,7438.0500000,403
20200105,040000,7438.7500000,7474.0000000,7438.0800000,7471.8200000,208
20200105,050000,7470.9000000,7488.8700000,7441.3300000,7447.5600000,300
20200105,060000,7447.5600000,7459.6500000,7440.6500000,7454.7300000,151
20200105,070000,7454.8000000,7478.2400000,7442.0600000,7461.6500000,414
20200105,080000,7461.6500000,7473.7800000,7446.5700000,7468.2200000,228
20200105,090000,7468.2800000,7475.0000000,7413.9100000,7426.3800000,231
20200105,100000,7426.4100000,7435.0000000,7396.3600000,7425.1100000,215
20200105,110000,7425.1000000,7431.3300000,7404.9500000,7413.9000000,26
20200105,120000,7413.8900000,7441.2500000,7409.4600000,7423.9200000,65
20200105,130000,7423.8500000,7457.3200000,7423.4200000,7457.3200000,72
20200105,140000,7457.3200000,7460.0300000,7411.1100000,7430.6800000,142
20200105,150000,7431.1100000,7442.9200000,7425.3500000,7431.2100000,40
20200105,160000,7430.7700000,7472.5100000,7428.0900000,7459.9700000,136
20200105,170000,7459.9700000,7479.5200000,7450.0000000,7455.9900000,171
20200105,180000,7457.1000000,7464.1200000,7444.3300000,7461.1600000,166
20200105,190000,7461.1700000,7463.0000000,7419.2000000,7432.0900000,180
20200105,200000,7432.0800000,7443.8600000,7422.9400000,7439.1600000,143
20200105,210000,7439.1500000,7439.1500000,7422.4100000,7428.7000000,127
20200105,220000,7428.7100000,7430.0800000,7356.8200000,7356.8200000,371
20200105,230000,7355.7900000,7375.0000000,7316.0000000,7348.0700000,357
20200106,000000,7348.0600000,7357.0400000,7312.2200000,7355.4000000,234
20200106,010000,7355.4000000,7377.4500000,7343.1700000,7372.9700000,222
20200106,020000,7372.9300000,7416.1700000,7361.6400000,7416.1000000,336
20200106,030000,7416.0900000,7562.8200000,7412.8800000,7547.8600000,1611
20200106,040000,7547.8600000,7580.0000000,7478.3300000,7540.1600000,745
20200106,050000,7538.9900000,7550.0000000,7516.0700000,7527.8700000,267
20200106,060000,7527.8400000,7535.0000000,7498.6000000,7528.7000000,263
20200106,070000,7528.7600000,7528.7900000,7507.3700000,7509.7700000,203
20200106,080000,7510.8300000,7520.9000000,7503.5600000,7503.5600000,93
20200106,090000,7503.5600000,7545.0000000,7503.5500000,7542.1900000,123
20200106,100000,7543.4200000,7545.0000000,7506.8000000,7541.4400000,120
20200106,110000,7543.2500000,7567.5000000,7528.8900000,7553.3300000,160
20200106,120000,7553.3300000,7572.2000000,7520.0400000,7536.2900000,139
20200106,130000,7536.2900000,7558.0100000,7529.8600000,7554.3300000,157
20200106,140000,7554.3400000,7615.6800000,7484.6500000,7522.1700000,746
20200106,150000,7522.1900000,7549.9900000,7499.9900000,7541.8300000,312
20200106,160000,7541.8200000,7546.1100000,7510.8000000,7516.8400000,595
20200106,170000,7515.9100000,7540.6300000,7505.8900000,7523.4600000,479
20200106,180000,7521.0400000,7554.8600000,7518.8700000,7552.7600000,561
20200106,190000,7552.7700000,7553.0000000,7523.1500000,7527.0700000,281
20200106,200000,7526.6000000,7544.4200000,7516.8800000,7536.6000000,353
20200106,210000,7536.6000000,7549.9900000,7531.9400000,7544.9800000,286
20200106,220000,7544.9800000,7606.8000000,7544.9800000,7576.7900000,783
20200106,230000,7576.7900000,7758.0000000,7575.6500000,7711.0300000,1656
20200107,000000,7716.5400000,7805.0000000,7700.0600000,7764.6300000,1247
20200107,010000,7764.6300000,8000.0000000,7764.6300000,7889.9900000,3571
20200107,020000,7890.0000000,7932.5600000,7865.6200000,7906.5200000,803
20200107,030000,7907.4700000,7940.2300000,7897.0900000,7899.7400000,495
20200107,040000,7899.9000000,7918.2900000,7889.2000000,7897.8300000,497
20200107,050000,7897.8300000,7906.0000000,7820.9100000,7844.5100000,601
20200107,060000,7844.5100000,7882.8300000,7838.5300000,7877.1700000,280
20200107,070000,7877.1700000,7879.0700000,7862.3000000,7874.4100000,113
20200107,080000,7873.5000000,7892.2000000,7860.8300000,7878.6500000,150
20200107,090000,7878.6500000,7900.0000000,7869.7300000,7880.5200000,107
20200107,100000,7880.5200000,7880.5200000,7856.7400000,7856.7500000,49
20200107,110000,7856.7500000,7885.7800000,7856.7500000,7885.7800000,71
20200107,120000,7885.7800000,7966.1600000,7882.0600000,7893.6100000,434
20200107,130000,7893.1500000,7913.2100000,7847.1100000,7871.0900000,429
20200107,140000,7869.9200000,7869.9300000,7812.1500000,7847.7800000,430
20200107,150000,7847.7800000,7883.8900000,7839.4400000,7850.0000000,680
20200107,160000,7850.0000000,7851.4000000,7743.5000000,7766.0600000,1066
20200107,170000,7766.0600000,7941.7000000,7723.0000000,7915.0000000,1244
20200107,180000,7915.0100000,7956.8200000,7875.9300000,7942.5800000,565
20200107,190000,7942.5800000,8134.8200000,7923.0900000,8046.0500000,2403
20200107,200000,8043.4100000,8119.7000000,8040.9300000,8081.6700000,948
20200107,210000,8081.6600000,8184.2000000,8051.2400000,8168.5300000,1121
20200107,220000,8168.5300000,8195.0000000,8007.2900000,8022.1100000,1609
20200107,230000,8022.1000000,8067.2000000,7965.0100000,8045.0000000,809
20200108,000000,8045.0000000,8216.0000000,8027.0000000,8158.5200000,1362
20200108,010000,8160.0100000,8469.3900000,8157.7100000,8447.1200000,4421
20200108,020000,8444.5300000,8467.8300000,8350.0000000,8377.0600000,1405
20200108,030000,8377.6500000,8432.7500000,8251.7600000,8282.2600000,1235
20200108,040000,8278.2600000,8339.9500000,8251.6300000,8303.0000000,813
20200108,050000,8302.9900000,8355.0000000,8282.8200000,8345.4800000,420
